Update Time Stamp,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source,Unnamed: 8,Test positivity rate,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case
13/03/2020 00:00:00,6500.0,5900.0,78,,,,Press_Release_ICMR_13March2020.pdf,,1.32%,75.64102564,83.33333333
18/03/2020 18:00:00,13125.0,12235.0,150,,,,ICMR_website_update_18March_6PM_IST.pdf,,1.23%,81.56666667,87.5
19/03/2020 10:00:00,13316.0,12426.0,168,,,,ICMR_website_update_19March_10AM_IST_V2.pdf,,1.35%,73.96428571,79.26190476
19/03/2020 18:00:00,14175.0,13285.0,182,,,,ICMR_website_update_19March_6PM_IST.pdf,,1.37%,72.99450549,77.88461538
20/03/2020 10:00:00,14376.0,13486.0,206,,,,ICMR_website_update_20March_10AM_IST.pdf,,1.53%,65.46601942,69.78640777
20/03/2020 18:00:00,15404.0,14514.0,236,,,,ICMR_website_update_20March_6PM_IST.pdf,,1.63%,61.5,65.27118644
21/03/2020 10:00:00,15701.0,14811.0,271,,,,ICMR_website_update_21March_10AM_IST.pdf,,1.83%,54.65313653,57.93726937
21/03/2020 18:00:00,16911.0,16021.0,315,,,,ICMR_website_update_21March_6PM_IST.pdf,,1.97%,50.86031746,53.68571429
22/03/2020 10:00:00,16999.0,16109.0,341,,,,ICMR_website_update_22March_10AM_IST.pdf,,2.12%,47.24046921,49.85043988
22/03/2020 18:00:00,18127.0,17237.0,396,,,,ICMR_website_update_22March_6PM_IST.pdf,,2.30%,43.52777778,45.77525253
23/03/2020 10:00:00,18383.0,17493.0,415,,,,ICMR_website_update_23March_10AM_IST.pdf,,2.37%,42.15180723,44.29638554
23/03/2020 20:00:00,20707.0,19817.0,471,,,,ICMR_website_update_23March_8PM_IST.pdf,,2.38%,42.07430998,43.96390658
24/03/2020 10:00:00,20864.0,19974.0,482,,,,ICMR_website_update_24March_10AM_IST.pdf,,2.41%,41.43983402,43.28630705
24/03/2020 20:00:00,22694.0,21804.0,536,,,,ICMR_website_update_24March_8PM_IST.pdf,,2.46%,40.67910448,42.33955224
25/03/2020 10:00:00,22928.0,22038.0,539,,,,ICMR_website_update_25March_10AM_IST.pdf,,2.45%,40.88682746,42.538033399999996
25/03/2020 20:00:00,25144.0,24254.0,581,,,,ICMR_website_update_25March_8PM_IST.pdf,,2.40%,41.74526678,43.27710843
26/03/2020 10:00:00,,,,,,,,,,,
26/03/2020 18:00:00,,,,,,,,,,,
27/03/2020 09:00:00,27688.0,26798.0,691,,,,ICMR_website_update_27March_9AM_IST.pdf,,2.58%,38.78147612,40.06946454
30/03/2020 00:00:00,38442.0,,,1334.0,,,MoH Press conference with Dr. Raman G,,,,
31/03/2020 00:00:00,42788.0,,,1733.0,,,MoH Press conference with Dr. Raman G,,,,
01/04/2020 00:00:00,47951.0,,1637,4562.0,,,https://twitter.com/PTI_News/status/1245308976440340482,,,0.0,29.29199756
02/04/2020 21:00:00,55851.0,,2056,,,,ICMR_testing_update_02April_9PM_IST.pdf,,,0.0,27.16488327
03/04/2020 09:00:00,56680.0,,2183,,,,ICMR_testing_update_03April_9AM_IST.pdf,,,0.0,25.96426935
03/04/2020 21:00:00,69245.0,,2653,,10034,575.0,ICMR_testing_update_03April_9PM_IST.pdf,,,0.0,26.10064078
04/04/2020 21:00:00,79950.0,,3113,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf,,,0.0,25.68262127
05/04/2020 21:00:00,89534.0,,3554,,9369,295.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf,,,0.0,25.192459200000002
06/04/2020 21:00:00,101068.0,,4135,,11432,311.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf,,,0.0,24.44207981
07/04/2020 21:00:00,114015.0,,4616,,12584,285.0,ICMR_testing_update_07April_9PM_IST.pdf,,,0.0,24.69995667
08/04/2020 21:00:00,127919.0,,5114,,13143,320.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf,,,0.0,25.01349237
09/04/2020 21:00:00,144910.0,130792.0,5705,,16002,320.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf,,4.36%,22.92585451,25.40052585
10/04/2020 21:00:00,161330.0,147034.0,6872,,15663,433.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf,,4.67%,21.39610012,23.47642608
11/04/2020 21:00:00,179374.0,164773.0,7703,,17143,600.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf,,4.67%,21.39075685,23.28625211
12/04/2020 21:00:00,195748.0,181028.0,8312,,"15,583",544.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf,,4.59%,21.77911453,23.55004812
13/04/2020 21:00:00,217554.0,202551.0,9341,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf,,4.61%,21.68408093,23.29022589
14/04/2020 21:00:00,244893.0,229426.0,10307,,26351,853.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf,,4.49%,22.25924129,23.75987193
15/04/2020 21:00:00,274599.0,258730.0,11297,,28941,953.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf,,4.37%,22.9025405,24.30724971
16/04/2020 21:00:00,302956.0,286714.0,"12,581",,27256,1206.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf,,4.39%,22.789444399999997,24.08043876
17/04/2020 21:00:00,335123.0,318449.0,14098,,31083,1443.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf,,4.43%,22.58823947,23.77096042
18/04/2020 21:00:00,372123.0,354969.0,16365,,35494,2154.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_18April_9PM_IST.pdf,,4.61%,21.69074244,22.73895509
19/04/2020 21:00:00,401586.0,383985.0,17615,,27824,1135.0,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_19April_9PM_IST.pdf,,4.59%,21.79875106,22.79795629
20/04/2020 21:00:00,,,,,,,,,,,
21/04/2020 21:00:00,462621.0,447812.0,,,26943,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_21April_9PM_IST.pdf,,0.00%,,
22/04/2020 21:00:00,,,,,,,,,,,
23/04/2020 09:00:00,500542.0,485172.0,21797,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_23Apr2020_9AM_IST.pdf,,4.49%,22.25865945,22.96380236
24/04/2020 09:00:00,541789.0,525667.0,23502,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_24Apr2020_9AM_IST.pdf,,4.47%,22.36690494,23.05288912
25/04/2020 09:00:00,579957.0,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_25Apr2020_9AM_IST.pdf,,,,
26/04/2020 09:00:00,625309.0,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_26Apr2020_9AM_IST.pdf,,,,
27/04/2020 09:00:00,665819.0,,,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_27Apr2020_9AM_IST.pdf,,,,
28/04/2020 09:00:00,716733.0,,,,,,https://www.icmr.nic.in/pdf/covid/update/ICMR_testing_update_28Apr2020_9AM_IST.pdf,,,,
29/04/2020 09:00:00,770764.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_29Apr2020_9AM_IST.pdf,,,,
30/04/2020 09:00:00,830201.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_30Apr2020_9AM_IST.pdf,,,,
01/05/2020 09:00:00,902654.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_01May2020_9AM_IST.pdf,,,,
02/05/2020 09:00:00,976363.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_02May2020_9AM_IST.pdf,,,,
03/05/2020 09:00:00,1046450.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_03May2020_9AM_IST.pdf,,,,
04/05/2020 09:00:00,1107233.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_04May2020_9AM_IST.pdf,,,,
05/05/2020 09:00:00,1191946.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_05May2020_9AM_IST.pdf,,,,
06/05/2020 09:00:00,1276781.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_06May2020_9AM_IST.pdf,,,,
07/05/2020 09:00:00,1357413.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07May2020_9AM_IST.pdf,,,,
08/05/2020 09:00:00,1437788.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_08May2020_9AM_IST.pdf,,,,
09/05/2020 09:00:00,1523213.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_09May2020_9AM_IST.pdf,,,,
10/05/2020 09:00:00,1609037.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_10May2020_9AM_IST.pdf,,,,
11/05/2020 09:00:00,1673688.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_11May2020_9AM_IST.pdf,,,,
12/05/2020 09:00:00,1759579.0,,,,,,https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_12May2020_9AM_IST.pdf,,,,
